AUN,LEA Name,County,"Total Act 1, 511 and First Class SD Taxes (6130, 6140, 6150, 6160)","Act 1 Earned Income
6131","Total Act 511 Flat
6140","Total Act 511 Proportional
6150","Per Capita
6141","Occupation
Flat 6142","Local Services / Occupational Privilege
6143","Business Privilege Flat
6145","Mechanical Device Flat
6146","Other Flat Rate Assessments
6149","Act 511 Earned Income
6151","Occupation Millage
6152","Real Estate Transfer
6153","Amusement
6154","Business Privilege Proportional
6155","Mechanical Device Percentage
6156","Mercantile
6157","Other Proportional Assessments
6159","Total Non-Real Estate First Class SD Only
6160","1st Class Earned Income
6161","Liquor Sales
6162","Cigarette Tax
6163","Sales and
Use Tax
6164",General Business Taxes 6165,"Business Use & Occupancy
6166","Non-Business Income
6167","Real Estate Transfer
6168"
112011103.0,Bermudian Springs SD,Adams,5251751.72,,41067.3,5210684.42,41067.3,,,,,,4851016.79,,359538.73,128.9,,,,,0.0,,,,,,,,
112011603.0,Conewago Valley SD,Adams,9080638.76,,154277.37,8926361.39,91298.8,,62978.57,,,,8248281.54,,632879.85,45200.0,,,,,0.0,,,,,,,,
112013054.0,Fairfield Area SD,Adams,3056179.76,,0.0,3056179.76,,,,,,,2848883.82,,176100.03,31195.91,,,,,0.0,,,,,,,,
112013753.0,Gettysburg Area SD,Adams,10254076.73,,95719.51,10158357.22,,,95719.51,,,,8360915.86,,1469799.28,327642.08,,,,,0.0,,,,,,,,
112015203.0,Littlestown Area SD,Adams,5710638.59,,72351.72,5638286.87,48360.6,,23991.12,,,,5255203.63,,383083.24,,,,,,0.0,,,,,,,,
112018523.0,Upper Adams SD,Adams,3735100.71,,74972.26,3660128.45,34796.8,,40175.46,,,,3375280.6,,284847.85,,,,,,0.0,,,,,,,,
103020603.0,Allegheny Valley SD,Allegheny,1776962.0,,32990.0,1743972.0,,,32990.0,,,,1330285.0,,413687.0,,,,,,0.0,,,,,,,,
103020753.0,Avonworth SD,Allegheny,3885608.84,,20213.63,3865395.21,,,20213.63,,,,3332221.81,,533173.4,,,,,,0.0,,,,,,,,
103021102.0,Baldwin-Whitehall SD,Allegheny,6467002.85,,40751.98,6426250.87,,,40751.98,,,,5832975.12,,593275.75,,,,,,0.0,,,,,,,,
103021252.0,Bethel Park SD,Allegheny,7054464.46,,4300.0,7050164.46,,,,,4300.0,,6192747.47,,857416.99,,,,,,0.0,,,,,,,,
