Cat,AUN,LEA Name,County,Total Local Revenue 6000 ,"Current Real Estate Taxes
6111",Interim Real Estate Taxes 6112,Public Utility Realty Tax 6113,Payment in Lieu State & Local 6114,Payment in Lieu Federal 6115,"Per Capita, Section 679 6120",Current Act 1 Earned Income Tax 6131,Current Act 511 Per Capita Taxes 6141,Current Act 511 Occupation Taxes-Flat Rate 6142,Current Act 511 Local Services Taxes 6143,Current Act 511 Business Privilege Taxes-Flat Rate 6145,Current Act 511 Mechanical Device Taxes-Flat Rate 6146,Current Act 511 Taxes-Other Flat Rate Assessments 6149,Current Act 511 Earned Income Taxes 6151,Current Act 511 Occupation Taxes 6152,Current Act 511 Real Estate Transfer Taxes 6153,Current Act 511 Amusement Taxes 6154,Current Act 511 Business Privilege Taxes 6155,Current Act 511 Mechanical Device Taxes-Percentage 6156,Current Act 511 Mercantile Taxes 6157,Current Act 511 Taxes-Other Proportional Assessments 6159,Earned Income Tax 6161,Liquor Sales Tax 6162,Cigarette Tax 6163,Sales and Use Tax 6164,General Business Taxes 6165,Business Use & Occupancy Tax 6166,Non-Business Income Tax 6167,Real Estate Transfer Tax 6168,Delinquent Taxes 6400,Earnings on Investments 6500,Food Service Revenue 6600,Revenue from LEA Activities 6700,Revenue from Local Gov't Units 6810,State Revenue from Other Public Schools 6821,State Revenue from Other Sources 6829,Federal Revenue from Other PA LEAs  6831,Federal IDEA Revenue Received as Pass Through 6832,Federal ARP Act IDEA Revenue Received as Pass Through for Other PA LEAs 6833,Federal ARP Act IDEA Preschool Revenue Received as Pass Through from Other PA LEAs 6834,Federal COVID Related Revenue Received as Pass Through 6837,Federal COVID Related Revenue Received as Pass Through from Other PA LEAs 6838,Federal Revenue from Other Sources 6839,Other Federal Revenue from Intermediary Sources 6890,Rentals 6910,Contributions from Private Sources 6920,Regular Day School Tuition 6941,Summer School Tuition 6942,Adult Education Tuition 6943,Receipts from Other LEAs in PA - Education 6944,Receipts from Out-of-State LEAs 6945,Receipts From Member Districts – AVTS / Special Program Jointure Only 6946,Other Tuition from Patrons 6949,Transportation Services Provided Other PA LEAs 6961,Other Services Provided Other PA LEAs 6962,All Other Services Provided Other Govt's 6969,Services Provided Other Funds 6970,Revenue from Community Services Activities 6980,Refunds of a Prior Year Expenditure 6991,Energy Efficiency Revenues and Incentives 6992,Other Revenues Not Specified Elsewhere 6999
1.0,112011103.0,Bermudian Springs SD,Adams,19451244.84,12793050.81,130881.33,17314.3,1386.41,,41067.3,,41067.3,,,,,,4851016.79,,359538.73,128.9,,,,,,,,,,,,,375504.35,330846.97,,66206.16,,,,,300714.7,,,,,,,17830.0,,,,3043.0,108965.71,,,,,,,,,,,12682.08
1.0,112011603.0,Conewago Valley SD,Adams,45991265.03,33851832.0,,39069.24,,,91298.8,,91298.8,,62978.57,,,,8248281.54,,632879.85,45200.0,,,,,,,,,,,,,741739.91,744205.4,,78731.0,,,,,780832.58,,,,,,,21082.5,,,,,2474.18,,,501409.5,,,,,,,,57951.16
1.0,112013054.0,Fairfield Area SD,Adams,13713816.83,9225112.24,50717.52,11711.74,15519.78,,,,,,,,,,2848883.82,,176100.03,31195.91,,,,,,,,,,,,,660170.31,80188.21,,31385.37,,,,36495.82,191492.84,,,,,,,2580.58,22765.77,,,,249637.37,,,,,,,,,27523.1,,52336.42
1.0,112013753.0,Gettysburg Area SD,Adams,49153533.0,32345133.47,577843.45,39651.45,59941.68,3191.4,,,,,95719.51,,,,8360915.86,,1469799.28,327642.08,,,,,,,,,,,,,1669965.65,1041893.49,,192228.36,,,,170415.51,562620.1,,,,,,,551185.22,116449.58,,,,125777.52,,,,,,,,1000.0,14654.91,600.0,1426904.48
1.0,112015203.0,Littlestown Area SD,Adams,23829728.48,16135735.57,103909.13,20197.77,,,48360.6,,48360.6,,23991.12,,,,5255203.63,,383083.24,,,,,,,,,,,,,,451235.83,668663.48,,81239.2,,,,,310200.5,,,,,,,3413.5,,350.0,,,36138.57,,,,,,,,,205953.0,,53692.74
1.0,112018523.0,Upper Adams SD,Adams,18335587.49,12522373.95,69358.94,15583.01,12886.16,,34542.7,,34796.8,,40175.46,,,,3375280.6,,284847.85,,,,,,,,,,,,,,410394.09,168002.88,,65900.2,61192.38,,,,369105.62,,,,,,1110.0,3450.0,98126.48,,,,504296.03,,,,,,,,,251546.48,,12617.86
1.0,103020603.0,Allegheny Valley SD,Allegheny,18173920.0,15057283.0,,16276.0,53.0,,,,,,32990.0,,,,1330285.0,,413687.0,,,,,,,,,,,,,,492530.0,527167.0,,,,,,,212024.0,,,,,,,5251.0,,,,,,,,,,,,,,378.0,,85996.0
1.0,103020753.0,Avonworth SD,Allegheny,29449322.3,23885845.38,,25532.28,,,,,,,20213.63,,,,3332221.81,,533173.4,,,,,,,,,,,,,,537413.57,606939.48,,63281.0,,75000.0,,,315738.79,,,,,,,2790.0,15120.0,,,,,,,,,,,,,579.04,,35473.92
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,52086917.51,41417161.52,,46425.01,,,,,,,40751.98,,,,5832975.12,,593275.75,,,,,,,,,,,,,,1347650.11,1146389.12,,106132.69,,,,2072.0,514505.95,,,,,,16252.0,303122.39,141592.0,9900.0,6215.0,,,,,,,,,,,204859.7,,357637.17
1.0,103021252.0,Bethel Park SD,Allegheny,69886007.66,57696773.05,,58713.47,8754.48,,,,,,,,4300.0,,6192747.47,,857416.99,,,,,,,,,,,,,,1731158.58,1571157.31,,249953.02,,,,3247.28,825364.7,100843.21,,,,,,227757.05,29804.12,97533.0,,,,,,,,,,,,130828.84,17075.77,82579.32
