AUN,School District,County,"Total Act 1, 511 and First Class SD Taxes (6130, 6140, 6150, 6160)","Act 1 Earned Income
6131","Total Act 511 Flat
6140","Total Act 511 Proportional
6150","Per Capita
6141","Occupation
Flat 6142","Local Services / Occupational Privilege
6143","Business Privilege Flat
6145","Mechanical Device Flat
6146","Other Flat Rate Assessments
6149","Act 511 Earned Income
6151","Occupation Millage
6152","Real Estate Transfer
6153","Amusement
6154","Business Privilege Proportional
6155","Mechanical Device Percentage
6156","Mercantile
6157","Other Proportional Assessments
6159","Total Non-Real Estate First Class SD Only
6160","1st Class Earned Income
6161","Liquor Sales
6162","Cigarette Tax
6163","Sales and
Use Tax
6164",General Business Taxes 6165,"Business Use & Occupancy
6166","Non-Business Income
6167","Real Estate Transfer
6168"
112011103.0,Bermudian Springs SD,Adams,4211072.43,,40608.1,4170464.33,40608.1,,,,,,3939278.23,,231046.38,139.72,,,,,0.0,,,,,,,,
112011603.0,Conewago Valley SD,Adams,7530863.11,,156563.65,7374299.46,89479.3,,67084.35,,,,6787842.08,,537070.05,49387.33,,,,,0.0,,,,,,,,
112013054.0,Fairfield Area SD,Adams,2671108.78,,,2671108.78,,,,,,,2340797.79,,314698.72,15612.27,,,,,0.0,,,,,,,,
112013753.0,Gettysburg Area SD,Adams,7749264.63,,94640.6,7654624.03,,,94640.6,,,,6449086.21,,1009492.85,196044.97,,,,,0.0,,,,,,,,
112015203.0,Littlestown Area SD,Adams,4465231.569999999,,70875.05,4394356.52,46695.0,,24180.05,,,,4094374.46,,299982.06,,,,,,0.0,,,,,,,,
112018523.0,Upper Adams SD,Adams,3029130.98,,76305.88,2952825.1,34494.7,,41811.18,,,,2805084.5,,147740.6,,,,,,0.0,,,,,,,,
103020603.0,Allegheny Valley SD,Allegheny,1324383.66,,38421.26,1285962.4,,,38421.26,,,,1137869.88,,148092.52,,,,,,0.0,,,,,,,,
103020753.0,Avonworth SD,Allegheny,3241243.69,,14979.0,3226264.69,,,14979.0,,,,2735934.13,,490330.56,,,,,,0.0,,,,,,,,
103021102.0,Baldwin-Whitehall SD,Allegheny,5551410.26,,38858.71,5512551.55,,,38858.71,,,,4958117.51,,554434.04,,,,,,0.0,,,,,,,,
103021252.0,Bethel Park SD,Allegheny,5875982.1,,3950.0,5872032.1,,,,,3950.0,,5224982.13,,647049.97,,,,,,0.0,,,,,,,,
103021453.0,Brentwood Borough SD,Allegheny,1352794.8900000001,,9608.05,1343186.84,,,9608.05,,,,1197569.01,,145617.83,,,,,,0.0,,,,,,,,
103021603.0,Carlynton SD,Allegheny,2164955.23,,,2164955.23,,,,,,,2013157.79,,151797.44,,,,,,0.0,,,,,,,,
103021752.0,Chartiers Valley SD,Allegheny,6728182.7,,71025.7,6657157.0,,,71025.7,,,,5259464.92,,880824.46,,,,516867.62,,0.0,,,,,,,,
103021903.0,Clairton City SD,Allegheny,670115.5599999999,,10440.59,659674.97,,,10440.59,,,,412985.28,,27669.53,,188530.04,,30490.12,,0.0,,,,,,,,
103022103.0,Cornell SD,Allegheny,822787.0,,20556.0,802231.0,,,20556.0,,,,718164.0,,84067.0,,,,,,0.0,,,,,,,,
103022253.0,Deer Lakes SD,Allegheny,2281892.55,,76237.11,2205655.44,52595.31,,23641.8,,,,1947211.94,,258443.5,,,,,,0.0,,,,,,,,
103022503.0,Duquesne City SD,Allegheny,305762.13,,6858.11,298904.02,,,6858.11,,,,287078.24,,11825.78,,,,,,0.0,,,,,,,,
103022803.0,East Allegheny SD,Allegheny,1864251.57,,22763.95,1841487.62,,,22763.95,,,,1370653.14,,156283.86,,122617.0,2533.38,189400.24,,0.0,,,,,,,,
103023153.0,Elizabeth Forward SD,Allegheny,2399690.6500000004,,19344.66,2380345.99,,,19344.66,,,,2172436.03,,207909.96,,,,,,0.0,,,,,,,,
103023912.0,Fox Chapel Area SD,Allegheny,8877298.58,,98342.9,8778955.68,,,98342.9,,,,7722927.24,,1056028.44,,,,,,0.0,,,,,,,,
103024102.0,Gateway SD,Allegheny,6388340.75,,121020.72,6267320.03,,,121020.72,,,,3910802.83,,738830.88,,,,1617686.32,,0.0,,,,,,,,
103024603.0,Hampton Township SD,Allegheny,4579928.15,,,4579928.15,,,,,,,4047052.46,,532875.69,,,,,,0.0,,,,,,,,
103024753.0,Highlands SD,Allegheny,2275143.49,,75031.91,2200111.58,46408.07,,28623.84,,,,1998462.79,,201648.79,,,,,,0.0,,,,,,,,
103025002.0,Keystone Oaks SD,Allegheny,3570696.5500000003,,60799.39,3509897.16,,,60799.39,,,,3182759.02,,327138.14,,,,,,0.0,,,,,,,,
103026002.0,McKeesport Area SD,Allegheny,2872173.0,,48053.0,2824120.0,,,48053.0,,,,2247591.0,,147549.0,,246613.0,,182367.0,,0.0,,,,,,,,
103026303.0,Montour SD,Allegheny,6294338.27,,,6294338.27,,,,,,,5113454.3,,1180883.97,,,,,,0.0,,,,,,,,
103026343.0,Moon Area SD,Allegheny,6272505.7299999995,,82855.8,6189649.93,,,82855.8,,,,5088634.1,,1096949.91,4065.92,,,,,0.0,,,,,,,,
103026402.0,Mt Lebanon SD,Allegheny,9120300.54,,48453.18,9071847.36,,,48453.18,,,,8134579.81,,937267.55,,,,,,0.0,,,,,,,,
103026852.0,North Allegheny SD,Allegheny,15765576.32,,179862.86,15585713.46,179862.86,,,,,,13396507.81,,2189205.65,,,,,,0.0,,,,,,,,
103026902.0,North Hills SD,Allegheny,8558690.27,,74245.51,8484444.76,,,74245.51,,,,6222043.95,,932173.94,,491298.66,,838928.21,,0.0,,,,,,,,
