Cat,AUN,LEA Name,County,Total Other Revenue 9000,The Face Value of Bonds/Notes Issued 9110,Proceeds from Refunding of Bonds/Notes 9120,Bond/Note Premiums 9130,Leases and Other Right to Use Arrangements 9220,Other Extended Term Financing Proceeds 9290,Special Revenue Fund Transfers 9320,Capital Projects Fund Transfers 9330,Debt Service Fund Transfers 9340,Enterprise Fund Transfers 9350,Internal Service Fund Transfers 9360,Trust and Custodial Fund Transfers 9370,Student Activity Custodial Fund Transfers 9380,Permanent Fund Transfers 9390,Sale or Compensation for Loss of Fixed Assets 9400,Transfers from Component Units 9710,Transfers from Primary Governments 9720,Other Financing Sources not Listed in the 9000 Series 9910,Special Items-Gains 9920,Extraordinary Items-Gains 9930,Insurance Recoveries 9990
1.0,112011103.0,Bermudian Springs SD,Adams,,,,,,,,,,,,,,,,,,,,,
1.0,112011603.0,Conewago Valley SD,Adams,,,,,,,,,,,,,,,,,,,,,
1.0,112013054.0,Fairfield Area SD,Adams,,,,,,,,,,,,,,,,,,,,,
1.0,112013753.0,Gettysburg Area SD,Adams,5056.01,,,,,,,,,,,,,,5056.01,,,,,,
1.0,112015203.0,Littlestown Area SD,Adams,877916.69,,,,,,,825167.67,,,,,,,,,,,,,52749.02
1.0,112018523.0,Upper Adams SD,Adams,,,,,,,,,,,,,,,,,,,,,
1.0,103020603.0,Allegheny Valley SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103020753.0,Avonworth SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103021252.0,Bethel Park SD,Allegheny,1272617.23,,,,1138170.83,,,,,,,,,,1000.0,,,,,,133446.4
1.0,103021453.0,Brentwood Borough SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103021603.0,Carlynton SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103021752.0,Chartiers Valley SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103021903.0,Clairton City SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103022103.0,Cornell SD,Allegheny,116757.0,,,,113446.0,,,,,,,,,,3311.0,,,,,,
1.0,103022253.0,Deer Lakes SD,Allegheny,686109.4,,,,,686109.4,,,,,,,,,,,,,,,
1.0,103022503.0,Duquesne City SD,Allegheny,25262.0,,,,,,,25262.0,,,,,,,,,,,,,
1.0,103022803.0,East Allegheny SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103023153.0,Elizabeth Forward SD,Allegheny,2202962.21,,,,,,,,,2829.47,,,,,9190.0,,,,,,2190942.74
1.0,103023912.0,Fox Chapel Area SD,Allegheny,532749.44,,,,42280.44,,,,,,,,,,31765.0,,,,,,458704.0
1.0,103024102.0,Gateway SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103024603.0,Hampton Township SD,Allegheny,414277.4,,,,,410277.4,,,,,,,,,4000.0,,,,,,
1.0,103024753.0,Highlands SD,Allegheny,522780.0,,,,522780.0,,,,,,,,,,,,,,,,
1.0,103025002.0,Keystone Oaks SD,Allegheny,176988.0,,,,,,,,,,,,,,,,,,,,176988.0
1.0,103026002.0,McKeesport Area SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103026303.0,Montour SD,Allegheny,6945.0,,,,,,,,,,,,,,6945.0,,,,,,
1.0,103026343.0,Moon Area SD,Allegheny,181176.5,,,,,,,,,,,,,,,,,,,,181176.5
1.0,103026402.0,Mt Lebanon SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103026852.0,North Allegheny SD,Allegheny,1320985.75,,,,1166388.75,,,,,,,,,,154597.0,,,,,,
1.0,103026902.0,North Hills SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103026873.0,Northgate SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103027352.0,Penn Hills SD,Allegheny,181252.12,,,,,,,,,181252.12,,,,,,,,,,,
1.0,103021003.0,Pine-Richland SD,Allegheny,1675188.0,,,,,,,1668455.0,,,,,,,,,,,,,6733.0
1.0,102027451.0,Pittsburgh SD,Allegheny,461771.16,,,,,,,,,,211825.0,,,,249946.16,,,,,,
1.0,103027503.0,Plum Borough SD,Allegheny,3500.9,,,,,,,,,,,,,,3500.9,,,,,,
1.0,103027753.0,Quaker Valley SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103028203.0,Riverview SD,Allegheny,800.0,,,,,,,,,,,,,,800.0,,,,,,
1.0,103028302.0,Shaler Area SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103028653.0,South Allegheny SD,Allegheny,,,,,,,,,,,,,,,,,,,,,
1.0,103028703.0,South Fayette Township SD,Allegheny,1535619.28,,,,664971.0,672871.0,,,,,,,,,,,,,,,197777.28
